step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
170,0.512518,0.102546,0.514289,0.092785,0.489159,0.103668,,,,,,
171,0.513431,0.105866,0.515362,0.0940854,0.490097,0.105337,,,,,,
172,0.514333,0.10592,0.516432,0.100556,0.491034,0.105503,,,,,,
173,0.515238,0.105921,0.518623,0.102484,0.491973,0.105506,,,,,,
174,0.516302,0.105923,0.520147,0.102673,0.492911,0.105513,,,,,,
175,0.517351,0.105927,0.521309,0.102848,0.493848,0.105814,,,,,,
176,0.518243,0.106038,0.522379,0.103099,0.494782,0.107216,,,,,,
177,0.519131,0.112479,0.523422,0.103426,0.495717,0.107701,,,,,,
178,0.520017,0.112729,0.524464,0.103812,0.496652,0.107882,,,,,,
179,0.520889,0.11283,0.525484,0.109793,0.498146,0.107882,,,,,,
180,0.521747,0.113007,0.526481,0.10989,0.49908,0.108144,,,,,,
181,0.5226,0.113794,0.52747,0.109987,0.500012,0.10929,,,,,,
182,0.523432,0.113795,0.528455,0.112068,0.500943,0.109291,,,,,,
183,0.524255,0.113797,0.529455,0.113272,0.50187,0.110153,,,,,,
184,0.525074,0.113841,0.530438,0.114194,0.502796,0.110258,,,,,,
185,0.525869,0.113842,0.531567,0.114199,0.503922,0.113801,,,,,,
186,0.526662,0.113853,0.532532,0.114511,0.504852,0.114375,,,,,,
187,0.527829,0.113873,0.533497,0.12537,0.505754,0.114376,,,,,,
188,0.528857,0.11493,0.534454,0.127415,0.506574,0.114376,,,,,,
189,0.52965,0.115393,0.535412,0.128469,0.507336,0.1144,,,,,,
190,0.530426,0.115437,0.536325,0.128475,0.508092,0.11443,,,,,,
191,0.531188,0.115439,0.537364,0.129713,0.508845,0.118841,,,,,,
192,0.531945,0.11544,0.538272,0.129715,0.509597,0.121369,,,,,,
193,0.532685,0.118768,0.539169,0.131111,0.51053,0.12137,,,,,,
194,0.533426,0.11883,0.540048,0.131119,0.511284,0.121591,,,,,,
195,0.534167,0.121239,0.541053,0.131289,0.512034,0.121998,,,,,,
196,0.534907,0.121571,0.541928,0.131945,0.512784,0.12214,,,,,,
197,0.535644,0.121692,0.542797,0.132913,0.513532,0.122295,,,,,,
198,0.53638,0.123223,0.543647,0.132931,0.514279,0.122327,,,,,,
199,0.537111,0.123229,0.544482,0.132932,0.515027,0.122896,,,,,,
200,0.537841,0.123251,0.545315,0.133339,0.515774,0.123209,,,,,,
201,0.538565,0.123861,0.54613,0.133794,0.516519,0.123213,,,,,,
202,0.539288,0.123862,0.546944,0.138218,0.517244,0.124626,,,,,,
203,0.540002,0.124794,0.547751,0.14726,0.518553,0.129095,,,,,,
204,0.540716,0.124961,0.548547,0.147804,0.520421,0.129174,,,,,,
205,0.54142,0.126894,0.54933,0.148901,0.521728,0.134729,,,,,,
206,0.542112,0.131639,0.550113,0.150026,0.522406,0.134789,,,,,,
207,0.542802,0.132275,0.550849,0.150205,0.523068,0.13479,,,,,,
208,0.543478,0.135757,0.551581,0.151515,0.523699,0.135599,,,,,,
209,0.544061,0.136139,0.552305,0.151667,0.524332,0.135766,,,,,,
210,0.544645,0.13618,0.553029,0.155336,0.524935,0.135966,,,,,,
211,0.545221,0.136669,0.553728,0.155343,0.525763,0.135995,,,,,,
212,0.545792,0.137056,0.554427,0.156118,0.526566,0.135995,,,,,,
213,0.546363,0.137066,0.555111,0.15612,0.527277,0.135999,,,,,,
214,0.54693,0.137076,0.555776,0.15695,0.528026,0.135999,,,,,,
215,0.547497,0.137192,0.55644,0.156957,0.528587,0.136,,,,,,
216,0.548053,0.137194,0.557106,0.157128,0.529335,0.136956,,,,,,
217,0.548609,0.137795,0.55791,0.15713,0.529898,0.136959,,,,,,
218,0.549156,0.140862,0.55856,0.158563,0.530459,0.137134,,,,,,
219,0.549702,0.143646,0.559174,0.166124,0.531021,0.137134,,,,,,
220,0.550242,0.144346,0.559774,0.16694,0.531582,0.137198,,,,,,
221,0.550774,0.144348,0.560675,0.167174,0.532144,0.137309,,,,,,
